Osvr,Title,Type,Views,Likes,Views_per_Like,Age,Gender,Subscribers
1,Chris Christie Calls Donald Trump Donald Duck,0,2800,54,51.85185185,3,1,7
2,Joe Biden Brags About Destroying U.S.Economy,0,2100,17,123.5294118,6,1,5
3,Joe Biden Forgets to Shake Hands With Prime Minister,0,78,4,19.5,5,1,0
4,Aaron Rodegrs Makes Fun of the C0V1D V4XXC1N3,2,1900,37,51.35135135,2,2,1
5,Joe Biden MOCKS Black and Hispanic Americans,0,393,5,78.6,3,1,1
6,"""Sleepy"" Joe Biden Claims He Was a Professor at UPenn",0,110,2,55,5,2,0
7,Vladimir Putin Calls the United States a Fallen Country,2,47,3,15.66666667,6,2,0
8,John Fetterman Has A Mental Break Down,0,32,3,10.66666667,4,1,1
9,Speaker Kevin McCarthy Launches an OFFICIAL Impeachment,1,250,15,16.66666667,4,1,2
10,Joe Biden Delivers an Extremely Concerning Speech,0,55,1,55,5,2,0
11,A Rare Public Sighting of Joe Biden,0,50,4,12.5,2,2,1
12,The Moment When You Realize Trump Was Right All-Along,1,3100,142,21.83098592,2,1,8
13,Joe Biden Disrespect a Vietnam War Hero,0,2900,82,35.36585366,5,2,5
14,Peter Doocy EMBARRASSES KJP After Press Conference,0,40,0,,3,2,1
15,Mitch McConnell Freezes Up During An Interview,2,2100,38,55.26315789,4,1,3
16,Vivek Ramaswamy EXPOSES Himself As A Rino,2,287,6,47.83333333,2,1,1
17,Joe Biden INSULTS Victims of Maui Fires,0,2100,48,43.75,5,2,6
18,Donald Trump PREDICTS What The Mainstrean Media Will Say,1,930,41,22.68292683,1,1,0
19,Joe Biden Has Another One of His Moments,0,144,10,14.4,6,2,0
20,Donald Trump Humiliates Chris Christie During a Live Rally,1,1900,77,24.67532468,3,1,3
21,Donald Trump Takes A Firm Stance in Attacking Wokeism,1,60,8,7.5,4,2,0
22,Steve Harvey Publicly ENDORSES Donald Trump,1,11000,446,24.66367713,3,1,34
23,Donald Trump Destroys Sleepy Joe in a Public Debate,0,5700,225,25.33333333,2,2,8
24,Marjorie Taylor Greene EXPOSES The Biden Crime Family,0,74,6,12.33333333,4,2,0
25,Tucker Carlson REVEALS the Interview That Got Him Fired,2,93,5,18.6,5,2,0
26,Joe Biden CHEWS on a Young Child,0,10000,141,70.92198582,6,1,16
27,Ted Cruz Declares WAR on the Barbie Movie,2,79,6,13.16666667,5,0,0
28,Joe Biden Mumbles His Way Through a Conference,0,1700,33,51.51515152,5,2,0
29,RINO Mike Pence Admits He Does Not Care About the American People,2,11000,217,50.69124424,4,1,0
30,Justice Clarance Thomas Destroys the Woke Media,1,2300,115,20,3,1,19
31,Joe Biden Just Advocated For Committing Crimes,0,80,2,40,6,2,2
32,Joe Biden Awkwardly Wonders Offstage During Interview,0,5100,60,85,3,2,0
33,Joe Biden Just Delivered his BEST Speech on the Strength of America,2,2400,77,31.16883117,2,2,4
34,Sleepy Joe's FAMOUS Patriotic Speech,0,8100,184,44.02173913,3,1,4
35,Does ANYBODY Know What Joe Biden Just Said,0,2400,37,64.86486486,4,2,18
36,Joe Biden ADMITS To Selling State Secrets to Foreign Countries,0,144,8,18,5,1,5
38,Former Vice President Biden Has ANOTHER 'Moment',0,144,4,36,5,2,0
39,Fetterman Attempts (And Fails) To Make A Sentence,0,561,8,70.125,4,1,0
40,Joe Biden gets Caught Having ANOTHER Creepy Moment on Live T.V.,0,176,7,25.14285714,5,1,0
41,Joe Biden HURRIES AWAY From Reporter When Asked About His Reelection Campaign,0,6200,124,50,3,2,8
42,Joe Biden Creates a New Word,0,108,7,15.42857143,2,1,0
43,Govornor Ron DeSantis Addresses the Current Hamas-Isreal War,1,2500,68,36.76470588,5,1,4
44,Donald Trump HUMILIATES Joe Biden During 2024 Rally,1,4900,227,21.58590308,2,2,16
45,Steven Crowder Publishes HILARIUS Audio MOCKING Tom Emmer,1,3000,106,28.30188679,2,0,5
46,Independant Journalist Gets DRAGGED Out Of A Hillary Clinton Speech,2,108,6,18,3,1,0
47,Biden Gets Dazed and Confused On Stage During a Rally,0,1500,49,30.6122449,5,1,4
48,Leaked Joe Biden Earpiece Audio,0,3600,82,43.90243902,4,2,3
49,Donald Trump Delivers a Promise to the American People,1,383,19,20.15789474,2,1,0
50,Steven Crowder DESTROYS Arrogant Liberal on 2A Argument,1,11000,558,19.71326165,4,0,14
51,Why is This Not the Worst Thing Biden Has Said?!,0,1700,30,56.66666667,3,1,2
52,Joe Biden COLLAPSES at Air Force graduation,0,1900,61,31.14754098,2,1,4
53,Joe Biden Admits that Kamala Harris is IN CHARGE,0,7400,143,51.74825175,5,2,15
54,Biden just gave the BIGGEST F-you to Middle Class Americans,0,1700,41,41.46341463,2,2,4
55,Kevin McCarthy DESTROYS Reporter When Questioned,1,2400,664,3.614457831,3,1,4
56,Ron DeSantis Announces he Will Run for President,1,384,14,27.42857143,5,2,3
57,Former Vice President Joe Biden Incoherently Mumbles His Way Through G7 Speech,0,1400,37,37.83783784,3,1,6
58,Donald Trump ACTUALLY Posted This to His Instagram,1,101,9,11.22222222,4,2,0
59,"FL Governor, Ron DeSantis, Speaks on Child Mutilation",2,52,5,10.4,2,2,0
60,Sleepy Joe Can't Remember Where Putin Is From,0,2600,82,31.70731707,2,1,3
